full_name,type,state,district,twitter_url,bioguide_id
Patrick J. Leahy,sen,VT,,NaN,L000174
Maria Cantwell,sen,WA,,https://twitter.com/MariaCantwell,C000127
Patty Murray,sen,WA,,https://twitter.com/MurrayCampaign,M001111
Tammy Baldwin,sen,WI,,https://twitter.com/tammybaldwin,B001230
Ron Johnson,sen,WI,,https://twitter.com/RonJohnsonWI,J000293
"Joe Manchin, III",sen,WV,,https://twitter.com/JoeManchinWV,M001183
Shelley Moore Capito,sen,WV,,https://twitter.com/CapitoforWV,C001047
John Barrasso,sen,WY,,https://twitter.com/barrassoforwyo,B001261
Cynthia M. Lummis,sen,WY,,https://twitter.com/CynthiaMLummis,L000571
Don Young,rep,AK,0,https://twitter.com/DonYoungAK,Y000033
Jerry L. Carl,rep,AL,1,https://twitter.com/CarlForAlabama,C001054
Barry Moore,rep,AL,2,NaN,M001212
Mike Rogers,rep,AL,3,NaN,R000575
Robert B. Aderholt,rep,AL,4,NaN,A000055
Mo Brooks,rep,AL,5,https://twitter.com/MoBrooks_,B001274
Gary J. Palmer,rep,AL,6,https://twitter.com/Palmer4Alabama,P000609
Terri Sewell,rep,AL,7,https://twitter.com/Sewell4Congress,S001185
"Eric A. ""Rick"" Crawford",rep,AR,1,https://twitter.com/Crawford4Cong,C001087
J. Hill,rep,AR,2,https://twitter.com/ElectFrench,H001072
Steve Womack,rep,AR,3,https://twitter.com/womack4congress,W000809
Bruce Westerman,rep,AR,4,https://twitter.com/WestermanAR,W000821
Aumua Amata Coleman Radewagen,rep,AS,0,https://twitter.com/amata96799,R000600
Tom O’Halleran,rep,AZ,1,https://twitter.com/TomOHalleran,O000171
Ann Kirkpatrick,rep,AZ,2,https://twitter.com/Ann_Kirkpatrick,K000368
Raúl M. Grijalva,rep,AZ,3,https://twitter.com/standwithraul,G000551
Paul A. Gosar,rep,AZ,4,https://twitter.com/DrPaulGosar,G000565
Andy Biggs,rep,AZ,5,https://twitter.com/andybiggs4az,B001302
David Schweikert,rep,AZ,6,https://twitter.com/DavidSchweikert,S001183
Ruben Gallego,rep,AZ,7,https://twitter.com/RubenGallego,G000574
Debbie Lesko,rep,AZ,8,https://twitter.com/DebbieLesko,L000589
Greg Stanton,rep,AZ,9,https://twitter.com/gregstantonaz,S001211
Doug LaMalfa,rep,CA,1,https://twitter.com/DougLaMalfa,L000578
Jared Huffman,rep,CA,2,https://twitter.com/JaredHuffman,H001068
John Garamendi,rep,CA,3,https://twitter.com/JohnGaramendi,G000559
Tom McClintock,rep,CA,4,https://twitter.com/tommcclintock,M001177
Mike Thompson,rep,CA,5,https://twitter.com/Mike_CA05,T000460
Doris O. Matsui,rep,CA,6,https://twitter.com/Matsui4Congress,M001163
Ami Bera,rep,CA,7,https://twitter.com/BeraForCongress,B001287
Jay Obernolte,rep,CA,8,https://twitter.com/TeamObernolte,O000019
Jerry McNerney,rep,CA,9,https://twitter.com/jerrymcnerney,M001166
Josh Harder,rep,CA,10,https://twitter.com/JoshHarder,H001090
Mark DeSaulnier,rep,CA,11,https://twitter.com/MarkDeSaulnier,D000623
Nancy Pelosi,rep,CA,12,https://twitter.com/TeamPelosi,P000197
Barbara Lee,rep,CA,13,https://twitter.com/BLeeForCongress,L000551
Jackie Speier,rep,CA,14,https://twitter.com/JackieSpeier,S001175
Eric Swalwell,rep,CA,15,https://twitter.com/ericswalwell,S001193
Jim Costa,rep,CA,16,NaN,C001059
Ro Khanna,rep,CA,17,https://twitter.com/RoKhanna,K000389
Anna G. Eshoo,rep,CA,18,https://twitter.com/Eshoo4Congress,E000215
Zoe Lofgren,rep,CA,19,https://twitter.com/ZoeLofgren,L000397
Jimmy Panetta,rep,CA,20,https://twitter.com/JimmyPanetta,P000613
David G. Valadao,rep,CA,21,https://twitter.com/dgvaladao,V000129
Devin Nunes,rep,CA,22,NaN,N000181
Kevin McCarthy,rep,CA,23,https://twitter.com/kevinomccarthy,M001165
Salud O. Carbajal,rep,CA,24,https://twitter.com/carbajalsalud,C001112
Mike Garcia,rep,CA,25,https://twitter.com/ElectMikeGarcia,G000061
Julia Brownley,rep,CA,26,https://twitter.com/JuliaBrownley,B001285
Judy Chu,rep,CA,27,https://twitter.com/JudyChuCampaign,C001080
Adam B. Schiff,rep,CA,28,https://twitter.com/AdamSchiff,S001150
Tony Cárdenas,rep,CA,29,https://twitter.com/Tcardenas,C001097
Brad Sherman,rep,CA,30,https://twitter.com/BradSherman4SFV,S000344
Pete Aguilar,rep,CA,31,https://twitter.com/AguilarCampaign,A000371
Grace F. Napolitano,rep,CA,32,https://twitter.com/grace4congress,N000179
Ted Lieu,rep,CA,33,https://twitter.com/tedlieu,L000582
Jimmy Gomez,rep,CA,34,https://twitter.com/JimmyGomezCA,G000585
Norma J. Torres,rep,CA,35,https://twitter.com/Norma4Congress,T000474
Raul Ruiz,rep,CA,36,https://twitter.com/RaulRuizCA36,R000599
Karen Bass,rep,CA,37,https://twitter.com/KarenBassTweets,B001270
Linda T. Sánchez,rep,CA,38,https://twitter.com/LindaTSanchez,S001156
Young Kim,rep,CA,39,https://twitter.com/YoungKimCA,K000397
Lucille Roybal-Allard,rep,CA,40,https://twitter.com/LRAforCongress,R000486
Mark Takano,rep,CA,41,https://twitter.com/MarkTakano,T000472
Ken Calvert,rep,CA,42,https://twitter.com/TeamCalvert,C000059
Maxine Waters,rep,CA,43,https://twitter.com/MaxineWaters,W000187
Nanette Diaz Barragán,rep,CA,44,https://twitter.com/Nanette4CA,B001300
